disc,race_ethnicity,sex,N_start,N_grad,grad_rate,disc_median
Chemical,Asian,Female,287,162,56.4,50.349999999999994
Chemical,Asian,Male,502,255,50.8,50.349999999999994
Chemical,Black,Female,922,387,42,50.349999999999994
Chemical,Black,Male,605,237,39.2,50.349999999999994
Chemical,Hispanic,Female,120,61,50.8,50.349999999999994
Chemical,Hispanic,Male,190,85,44.7,50.349999999999994
Chemical,White,Female,2618,1306,49.9,50.349999999999994
Chemical,White,Male,5430,2810,51.7,50.349999999999994
Civil,Asian,Female,134,77,57.5,55.7
Civil,Asian,Male,323,189,58.5,55.7
Civil,Black,Female,337,124,36.8,55.7
Civil,Black,Male,630,222,35.2,55.7
Civil,Hispanic,Female,102,55,53.9,55.7
Civil,Hispanic,Male,320,167,52.2,55.7
Civil,White,Female,2112,1293,61.2,55.7
Civil,White,Male,8764,5237,59.8,55.7
Electrical,Asian,Female,244,135,55.3,47.2
Electrical,Asian,Male,1597,899,56.3,47.2
Electrical,Black,Female,965,411,42.6,47.2
Electrical,Black,Male,2369,919,38.8,47.2
Electrical,Hispanic,Female,85,43,50.6,47.2
Electrical,Hispanic,Male,546,247,45.2,47.2
Electrical,White,Female,1255,603,48,47.2
Electrical,White,Male,11180,5188,46.4,47.2
Industrial,Asian,Female,145,91,62.8,61.849999999999994
Industrial,Asian,Male,294,179,60.9,61.849999999999994
Industrial,Black,Female,524,298,56.9,61.849999999999994
Industrial,Black,Male,518,229,44.2,61.849999999999994
Industrial,Hispanic,Female,93,71,76.3,61.849999999999994
Industrial,Hispanic,Male,227,155,68.3,61.849999999999994
Industrial,White,Female,1483,978,65.9,61.849999999999994
Industrial,White,Male,2998,1787,59.6,61.849999999999994
Mechanical,Asian,Female,110,65,59.1,53.7
Mechanical,Asian,Male,859,476,55.4,53.7
Mechanical,Black,Female,460,238,51.7,53.7
Mechanical,Black,Male,1398,582,41.6,53.7
Mechanical,Hispanic,Female,75,39,52,53.7
Mechanical,Hispanic,Male,523,235,44.9,53.7
Mechanical,White,Female,1757,986,56.1,53.7
Mechanical,White,Male,13952,7783,55.8,53.7
